日 付,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,158.18,154.43,149.67,149.82,143.06,143.87,143.69,150.79,147.28,148.17,154.1,155.87
2,158.18,154.43,149.67,149.84,145.99,143.63,143.7,150.79,147.34,147.19,154.1,155.7
3,158.18,155.71,150.56,147.83,145.99,142.83,143.64,150.79,148.79,147.4,154.1,155.84
4,158.18,155.35,149.26,146.03,145.99,144,144.63,147.64,148.02,147.4,154.38,155.3
5,158.18,154.07,149.87,146.03,145.99,142.73,144.63,146.98,148.25,147.4,153.49,155.12
6,157.73,152.61,149.25,146.03,145.99,143.76,144.63,147.63,148.25,149.78,154.04,155.12
7,158.22,151.3,148.07,145.78,143.03,143.76,144.41,147.67,148.25,150.47,153.24,155.12
8,158.09,151.3,148.07,147.77,143.64,143.76,146.09,147.26,148.47,152.31,153.24,155.24
9,158.43,151.3,148.07,145.38,145.82,144.9,146.89,147.26,147.37,152.74,153.24,156.03
10,158.18,151.96,147.38,146.91,145.82,144.71,145.89,147.26,147.52,153.09,153.93,156.88
11,158.18,151.96,146.68,143.54,145.82,144.94,146.66,147.26,147.56,153.09,154.36,155.87
12,158.18,153.26,148.08,143.54,145.96,144.12,146.66,148.46,147.3,153.09,154.28,155.71
13,158.18,154.51,148.31,143.54,147.9,143.08,146.66,147.84,147.3,153.09,155.03,155.71
14,157.57,152.81,148.35,143.23,147.33,143.08,147.02,146.69,147.3,152.49,154.74,155.71
15,158.08,152.81,148.35,143.64,146.28,143.08,147.69,147.66,147.3,151.67,154.74,156.02
16,156.46,152.81,148.35,142.93,145.08,144.42,149.05,147.66,147.53,150.73,154.74,155.12
17,155.25,151.91,148.84,142.53,145.08,145.08,148.51,147.66,146.55,150.18,154.7,154.69
18,155.25,151.67,149.53,142.46,145.08,145.36,148.69,147.5,146.98,150.18,155.34,155.61
19,155.25,152.14,149.69,142.46,144.94,144.92,148.69,147.9,148.05,150.18,155.54,155.85
20,156.08,151.13,149.69,142.46,145.32,145.35,148.69,147.73,148.05,151,157.29,155.85
21,156.1,149.86,149.06,141.24,144.28,145.35,148.69,147.5,148.05,150.56,157.49,155.85
22,155.55,149.86,149.06,140.96,143.36,145.35,147.47,148.53,148.29,151.71,157.49,157.62
23,156.5,149.86,149.06,142.1,143.91,146.5,146.48,148.53,148.29,152.26,157.49,156.75
24,156.33,149.86,149.8,142.96,143.91,145.72,146.5,148.53,147.85,152.69,157.49,156.22
25,156.33,150.23,150.95,143.11,143.91,145.06,147.42,147.45,148.77,152.69,156.87,155.92
26,156.33,148.92,150.2,143.11,142.74,144.8,147.42,147.16,149.79,152.69,156.38,156.51
27,155.6,149.24,150.58,143.11,142.37,144.58,147.42,147.55,149.79,153,155.91,156.51
28,155.13,149.67,151.11,143.66,144.06,144.58,147.77,147.42,149.79,152.57,156.63,156.51
29,155.68,,151.11,143.66,146.05,144.58,148.54,146.92,149.21,151.6,156.63,156.47
30,154.76,,151.11,142.57,143.87,144.81,148.25,146.92,148.88,152.8,156.63,156.56
31,154.43,,149.52,,143.87,,149.39,146.92,,154.1,,156.56
月中平均,156.86,151.96,149.27,144.27,144.92,144.42,146.83,147.87,148.07,151.24,155.25,155.93
月中最高,158.43,155.71,151.11,149.84,147.9,146.5,149.39,150.79,149.79,154.1,157.49,157.62
月中最低,154.43,148.92,146.68,140.96,142.37,142.73,143.64,146.69,146.55,147.19,153.24,154.69